Date| Lecture
4/04| [Lecture 1](lecture01.pdf)
4/11| [Lecture 2](lecture02.pdf) <br> [demo](demo/descriptive_stats.html)
4/18| [Lecture 3](lecture03.pdf)
4/25| [Lecture 4](lecture04.pdf) <br> [sd estimator 1](https://stats.stackexchange.com/questions/11707/why-is-sample-standard-deviation-a-biased-estimator-of-sigma) <br> [sd estimator 2](https://en.wikipedia.org/wiki/Unbiased_estimation_of_standard_deviation)
5/02| [Lecture 5](lecture05.pdf)
5/09| [Lecture 5 continued](lecture05.pdf)
5/16| [Lecture 7](lecture07.pdf)
5/23| [Lecture 8](lecture08.pdf)
5/30|
6/06|
6/13|
6/15|
