Date| Topic| Readings| Deadline
4/04| Course Overview; Stats and Research Design | [Why Statistics?](http://science.sciencemag.org/content/336/6077/12) |
4/11| Descriptive Statistics|1. Diez Ch 1; <br> 2. [Cacioppo, et al, 2013](http://www.pnas.org/content/110/25/10135.full) |[HW1](hw/HW1.pdf) assigned <br> [HW1 solutions](hw/HW1 answer key.pdf) [HW1 sample](hw/HW1 Sample Katie Conlon.pdf)
4/18| Probability and Distributions| Diez Ch 2-3| Initial research proposal due
4/25| Foundation for Inferential Statistics| Diez Ch 4 | HW1 due; [HW2](hw/HW2.pdf) assigned <br> [views.csv](hw/views.csv) [view.xls](hw/views_excel.xls)
5/02| Hypothesis Testing for Continuous Variable: t-tests| 1. Diez Ch 5.1-4; <br> 2. [Di Stefano, J., 2004.](http://www.sciencedirect.com/science/article/pii/S0378112703003311); <br> 3. [Krizek, K., 2007](https://d2l.pdx.edu/d2l/le/content/637050/viewContent/2951233/View) |
5/09| Hypothesis Testing for Continuous Variable (continued) |  | HW2 due on 5/12; [HW3](hw/HW3.pdf) assigned
5/16| Hypothesis Testing for Categorical Variable: Chi-squared tests | 1. Diez Ch 6; <br> 2. [Spence, et al, 2007](http://journals.sagepub.com/doi/pdf/10.1177/0021934706296192) | Paper update due
5/23| Hypothesis Testing: ANOVA | Diez Ch 5.5 | 
5/26| | | HW3 due
5/30| Association and Correlation|Diez Ch 7.1| HW4 assigned
6/06| Linear Regression|Diez Ch 7.2-4 |
6/09| | | HW4 due
6/13| Final project presentation (cont’d) (tentative date) ||
6/16| | |Final paper due
